,lat,log,alt,vazao,odml,temp,larg,prof,veloc,cond,Acestrorhynchus_lacustris,Apareiodon_ibitiensis,Apareiodon_piracicabae,Aphyocharax_anisitsi,Aphyocharax_dentatus,Aphyocharax_sp,Astyanax_lacustris,Astyanax_biotae,Astyanax_bockmanni,Astyanax_fasciatus,Astyanax_paranae,Brachypopomus_pinnicaudatus,Brachypopomus_sp.,Piabarchus_stramineus,Callichthys_callichthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_lagosantense,Characidium_laterale,Characidium_zebra,Cichlasoma_dimerus,Cichlasoma_paranaense,Corydoras_aeneus,Crenicichla_britskii,Curimatopsis_myersi,Cyphocharax_gillii,Cyphocharax_modestus,Cyphocharax_vanderi,Eigenmannia_trilineata,Eigenmannia_virescens,Farlowella_hahni,Galeocharax_knerii,Gymnorhamphichthys_britskii,Gymnotus_inaequilabiatus,Gymnotus_pantanal,Gymnotus_sylvius,Curculionichthys_insperatus,Hoplerythrinus_unitaeniatus,Hoplias_mbigua,H_malabaricus,Hoplosternum_littorale,Hyphessobrycon_anisitsi,Hyphessobrycon_eques,Hypostomus_ancistroides,Hypostomus_iheringii,Hypostomus_regani,Hypostomus_strigaticeps,Imparfinis_mirini,Imparfinis_schubarti,Knodus_moenkhausii,Leporinus_friderici,Leporinus_lacustris,Loricariichthys_platymetopon,Melanorivulus_apiamici,Melanorivulus_ivinhemensis,Moenkhausia_bonita,Moenkhausia_forestii,Moenkhausia_sanctaefilomenae,Odontostilbe_kriegi,Odontostilbe_avanhandavae,Oligosarcus_pintoi,Othothiropsis_marapoama,Othothiropsis_polyodon,Otothyropsis_sp.,Parodon_nasus,Phalloceros_harpagos,Phenacorhmadia_tenebrosa,Piabina_argentea,Pimelodella_avanhandavae,Pimelodella_gracilis,Pimelodus_maculatus,Poecilia_reticulata,Prochilodus_lineatus,Psellogrammus_kennedyi,Pseudopimelodus_mangurus,Pseudoplatystoma_corruscans,Pyrrhulina_australis,Pyxiloricaria_menezesi,Rhamdia_quelen,Rhamphichthys_hahni,Rineloricaria_sp,Rineloricaria_lanceolata,Roeboides_descalvadensis,Roeboides_paranensis,Salminus_hilarii,Schizodon_borellii,Scoloplax_empousa,Serrapinus_calliurus,Serrapinnus_heterodon,S_nigrotaenia,Serrapinnus_notomelas,Serrapinnus_sp.,Serrasalmus_maculatus,Serrasalmus_marginatus,Steindachnerina_brevipinna,Steindachnerina_insculpta,Sternopygus_macrurus,Synbranchus_marmoratus,Trachelyopterus_galeatus,T_coriaceus,Trichomycterus_sp
IV30,-22.56425,-55.141972,455,1.2182168678658,8.15,20.8,2.2,0.383,1.445783133,37.4,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV31,-22.550389,-54.800417,423,0.1185542168896,7.6,20.1,0.8,0.328,0.451807229,16.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV32,-22.232833,-54.149056,350,0.3943044906,5.54,21.9,1.2,0.5,0.657174151,19.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IV33,-22.0865,-54.0835,316,1.251878100352,6.75,24.1,4,0.368,0.850460666,21.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IV34,-22.114722,-53.910167,314,0.52861445793,7.16,23.7,1.3,0.45,0.903614458,26.3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IV35,-22.411556,-54.184833,336,1.38795180768,3.91,25.7,1.8,0.8,0.963855422,106.3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV36,-22.40475,-54.384333,323,3.08433735072,7.27,23.6,2.4,1.2,1.070950469,53.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
IV37,-22.309417,-55.755972,605,4.19759036281,7.86,20.6,6.5,0.67,0.963855422,34.9,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV38,-22.211139,-55.916389,680,0.4176706824,5.5,23.2,1.8,0.4,0.58009817,49.1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV39,-22.269889,-55.542222,492,6.37215529055,7.52,25.4,8.5,0.7,1.070950469,30.8,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IV40,-22.157444,-55.57175,478,0.2808950086,7.25,23.9,0.85,0.4,0.82616179,35.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
